,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator__gamma,param_final_estimator__learning_rate,param_final_estimator__max_depth,param_gb__max_depth,param_gb__max_features,param_rf__max_features,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
27,1057.768319606781,1.0807762145996094,0.6834466457366943,0.06955456733703613,1,0.01,8,2,5,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 5, 'rf__max_features': 5}",0.8187667231976049,0.8168908974780431,0.817828810337824,0.0009379128597808983,104,0.9357706553284311,0.9161874635137851,0.9259790594211081,0.00979159590732298
50,1230.6213388442993,0.852149486541748,1.074224829673767,0.060854315757751465,1,0.1,5,2,5,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 5, 'rf__max_features': 2}",0.8189860948050649,0.8166690421783208,0.8178275684916929,0.0011585263133720436,105,0.920974767220387,0.9017535675065094,0.9113641673634482,0.009610599856938795
31,1327.9403479099274,101.20555329322815,1.1199982166290283,0.2819976806640625,1,0.01,8,5,2,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 5}",0.8183609806506936,0.8172866217874415,0.8178238012190675,0.000537179431626067,106,0.9457082558014077,0.9167206996356414,0.9312144777185245,0.014493778082883157
108,974.065064907074,5.481086730957031,0.9218701124191284,0.0468822717666626,5,0.1,3,2,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 3, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8180026023915616,0.8175266499401205,0.8177646261658411,0.00023797622572058197,107,0.9298018528981524,0.9029782343684548,0.9163900436333037,0.013411809264848806
78,1292.0977194309235,69.44839596748352,2.219561219215393,0.34455788135528564,5,0.01,3,5,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8194915833384426,0.8159828099091385,0.8177371966237905,0.0017543867146520564,108,0.9600931635254446,0.9427468142956308,0.9514199889105377,0.008673174614906909
56,1496.8694739341736,41.00395321846008,1.6139849424362183,0.6637903451919556,1,0.1,5,5,5,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 2}",0.8187232723025607,0.8165725655982415,0.8176479189504011,0.0010753533521595804,109,0.93851753397961,0.9154958109461706,0.9270066724628903,0.011510861516719706
76,927.5848066806793,5.3491504192352295,0.7890611886978149,0.07031166553497314,5,0.01,3,2,8,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8204644699297104,0.8145864858130388,0.8175254778713746,0.00293899205833581,110,0.9130634057256557,0.8968223910389249,0.9049428983822903,0.00812050734336539
126,1077.1616547107697,3.8622727394104004,0.7343766689300537,0.04687237739562988,5,0.1,5,5,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8189036151261438,0.8160895541765875,0.8174965846513657,0.0014070304747781925,111,0.9334460023728928,0.9288670882862937,0.9311565453295932,0.0022894570432995254
90,1111.9576972723007,0.007678627967834473,0.7992295026779175,0.0076819658279418945,5,0.01,5,5,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8184141543498648,0.8165764285670003,0.8174952914584326,0.0009188628914322261,112,0.945397537737224,0.9425963498004599,0.943996943768842,0.0014005939683820468
6,1014.1560537815094,3.022998809814453,1.5445022583007812,0.5295014381408691,1,0.01,3,5,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8185366162923814,0.8164405027844756,0.8174885595384285,0.0010480567539529195,113,0.9474627356913436,0.9405472582574428,0.9440049969743932,0.0034577387169504314
4,1246.079565525055,1.0200014114379883,1.024499773979187,0.10950052738189697,1,0.01,3,2,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.8197663616176017,0.8151733363649372,0.8174698489912695,0.002296512626332292,114,0.9085411705543498,0.896978376312827,0.9027597734335884,0.005781397120761422
132,1072.2380023002625,14.758841514587402,0.6093758344650269,0.031249165534973145,5,0.1,8,2,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8187184088409128,0.8161799649658401,0.8174491869033764,0.001269221937536369,115,0.9330237380426036,0.9021108910132459,0.9175673145279248,0.015456423514678852
34,1141.3675297498703,2.17306125164032,0.9126927852630615,0.09668326377868652,1,0.01,8,5,8,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 8, 'rf__max_features': 2}",0.8166739674559601,0.8182215403358222,0.8174477538958911,0.0007737864399310346,116,0.9385932205627884,0.9236126257741398,0.9311029231684641,0.0074902973943242745
65,1395.0320692062378,48.82161355018616,0.8203201293945312,0.07031798362731934,1,0.1,8,2,8,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 5}",0.8176637904544163,0.8170926811720979,0.8173782358132571,0.0002855546411592025,117,0.9074302537592672,0.9006097325850878,0.9040199931721775,0.0034102605870897085
72,1254.2367980480194,48.8045220375061,0.9218723773956299,0.10937285423278809,5,0.01,3,2,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8182148315160188,0.8164072578116874,0.8173110446638532,0.0009037868521656889,118,0.9582895068511579,0.9172723267649333,0.9377809168080455,0.020508590043112285
120,1114.0885053873062,82.25928270816803,0.6249996423721313,0.015624642372131348,5,0.1,5,2,2,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8180242592861264,0.8164837964578594,0.8172540278719929,0.0007702314141335154,119,0.933206048143413,0.9038055193255096,0.9185057837344612,0.014700264408951724
0,1210.8230245113373,40.489076375961304,1.014999508857727,0.12699902057647705,1,0.01,3,2,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 3, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 2}",0.8186409629514627,0.8158122664932528,0.8172266147223577,0.001414348229104967,120,0.9501566368093041,0.9112561831390193,0.9307064099741618,0.01945022683514236
69,1072.2258154153824,4.680306792259216,1.1718705892562866,0.3749936819076538,1,0.1,8,5,5,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 5}",0.8172054416467301,0.8168393296548072,0.8170223856507687,0.0001830559959614675,121,0.9417607756993593,0.914662720097002,0.9282117478981806,0.01354902780117867
18,1188.811406493187,232.78820598125458,1.337795615196228,0.45175254344940186,1,0.01,5,5,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.816404871185088,0.8176056659308085,0.8170052685579483,0.000600397372860273,122,0.9339713362194995,0.9227892130185782,0.9283802746190388,0.005591061600460634
54,1143.5802730321884,156.57138001918793,1.5060709714889526,0.6365953683853149,1,0.1,5,5,2,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 5, 'gb__max_depth': 5, 'gb__max_features': 2, 'rf__max_features': 2}",0.8169735589852244,0.8170346010390526,0.8170040800121385,3.0521026914087646e-05,123,0.9249593531156606,0.9177129075968797,0.9213361303562702,0.003623222759390421
61,1160.4039092063904,8.968014001846313,1.3142362833023071,0.5575374364852905,1,0.1,8,2,2,5,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 2, 'rf__max_features': 5}",0.8163977674700363,0.8175937546370193,0.8169957610535279,0.0005979935834914962,124,0.9263469398524228,0.907105626498174,0.9167262831752984,0.009620656677124417
100,1159.305174946785,75.05771911144257,0.7109389305114746,0.0234377384185791,5,0.01,8,2,8,2,"{'final_estimator__gamma': 5, 'final_estimator__learning_rate': 0.01, 'final_estimator__max_depth': 8, 'gb__max_depth': 2, 'gb__max_features': 8, 'rf__max_features': 2}",0.819152395917847,0.8146854624857078,0.8169189292017774,0.0022334667160696098,125,0.9151954948159517,0.9056930357899632,0.9104442653029574,0.004751229512994282
68,1227.7288343906403,6.058404445648193,2.359386920928955,0.7499909400939941,1,0.1,8,5,5,2,"{'final_estimator__gamma': 1, 'final_estimator__learning_rate': 0.1, 'final_estimator__max_depth': 8, 'gb__max_depth': 5, 'gb__max_features': 5, 'rf__max_features': 2}",0.8192867190716633,0.8144164167215215,0.8168515678965924,0.002435151175070871,126,0.9366243619547262,0.9111574823001417,0.923890922127434,0.012733439827292248
